社員ID,部署,Q1_業務満足度,Q2_職場環境,Q3_上司との関係,Q4_給与待遇,Q5_成長機会,Q6_会社への信頼,Q7_ワークライフバランス,Q8_チームワーク
E001,営業部,4,3,4,3,4,4,3,4
E002,営業部,3,4,3,2,3,3,2,4
E003,営業部,5,4,5,4,5,5,4,5
E004,営業部,3,3,3,3,3,3,3,3
E005,営業部,4,4,4,3,4,4,3,4
E006,経理部,4,5,4,4,4,4,5,4
E007,経理部,5,5,5,4,5,5,5,5
E008,経理部,3,4,4,3,3,4,4,4
E009,経理部,4,4,3,3,4,3,4,4
E010,開発部,5,4,5,5,5,5,3,5
E011,開発部,4,3,4,4,5,4,2,4
E012,開発部,3,3,3,3,4,3,2,3
E013,開発部,5,4,4,4,5,5,3,4
E014,開発部,4,4,5,4,5,4,3,5
E015,人事部,4,5,5,3,4,4,5,5
E016,人事部,3,4,4,3,3,3,4,4
E017,人事部,5,5,5,4,5,5,5,5
E018,総務部,3,3,3,3,3,3,4,3
E019,総務部,4,4,4,3,4,4,4,4
E020,総務部,2,3,2,2,2,2,3,3
